#SlotID CellLayer CellRow AnodicChannel BotCathodeChannel TopCathodeChannel
2 0 0 0 1 2
2 1 0 4 3 8
2 2 0 6 5 14
2 3 0 10 7 20
2 4 0 12 9 26
2 5 0 16 11 32
2 6 0 18 13 38
2 7 0 22 15 44
2 8 0 24 17 50
2 0 1 28 19 56
2 1 1 30 21 62
2 2 1 34 23 68
2 3 1 36 25 74
2 4 1 40 27 80
2 5 1 42 29 86
2 6 1 46 31 92
2 7 1 48 33 98
2 8 1 52 35 104
2 0 2 54 55 37
2 1 2 58 57 39
2 2 2 60 59 41
2 3 2 64 61 43
2 4 2 66 63 45
2 5 2 70 65 47
2 6 2 72 67 49
2 7 2 76 69 51
2 8 2 78 71 53
2 0 3 82 73 91
2 1 3 84 75 93
2 2 3 88 77 95
2 3 3 90 79 97
2 4 3 94 81 99
2 5 3 96 83 101
2 6 3 100 85 103
2 7 3 102 87 105
2 8 3 106 89 107
