# Geom ID       ; Period                                    ; Status flags
[1204:0.0.0.0] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.1] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.2] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.3] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.4] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.5] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.6] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.7] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.8] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.9] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.10] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.11] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.12] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.13] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.14] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.15] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.16] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.17] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.18] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.19] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.20] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.21] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.22] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.23] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.24] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.25] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.26] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.27] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.28] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.29] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.30] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.31] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.32] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
[1204:0.0.0.33] ; [2022-01-01 00:00:00/2028-01-01 00:00:00) ; off
