strip what pad0 pad1 pad2 pad3 pad4 pad5 pad6 pad7
1  semass    22.05  21.123 23.112 23.796 26.127 22.032 22.491  22.662
4  semass    21.924 22.131 21.753 21.537 24.165 21.852 21.33   21.303 
5  semass    24.516 24.840 23.985 22.932 24.723 24.012 24.012  24.651
6  semass    22.734 22.698 21.861 22.806 23.481 22.5   21.492  22.878
7  semass    23.319 21.762 21.924 20.583 20.988 21.168 20.016  21.402 
10 semass    22.077 22.59  21.555 22.275 21.222 20.709 20.9423 26.613
11 semass    22.212 22.329 22.806 22.401 22.869 23.616 24.183  22.095 
12 semass    22.41  23.22  22.239 22.239 23.211 22.599 22.041  25.677 
13 semass    20.997 19.476 18.459 22.797 21.852 21.771 21.267  21.861 
16 semass    22.149 23.463 22.167 22.896 18.81  19.152 18.702  22.752 
17 semass    17.955 16.848 17.559 17.343 18.513 18.963 18.099  16.506 
18 semass    22.149 21.978 21.591 21.042 19.827 25.866 25.479  25.524
19 semass    21.969 21.501 22.302 21.924 23.04  22.212 20.574  19.08 
29 semass    22.644 22.707 22.194 22.581 22.608 21.96  21.636  21.384 
30 semass    24.021 25.731 26.136 27.306 25.398 24.714 26.496  24.327
1  totalmass 24.5   23.47  25.68  26.44  29.03  24.48  24.99  25.18
4  totalmass 24.36  24.59  24.17  23.93  26.85  24.28  23.7   23.67
5  totalmass 27.24  27.6   26.65  25.48  27.47  26.68  26.68  27.39
6  totalmass 25.26  25.22  24.29  25.34  26.09  25.0   23.88  25.42
7  totalmass 25.91  24.18  24.36  22.87  23.32  23.52  22.24  23.78 
10 totalmass 24.53  25.1   23.95  24.75  23.58  23.01  23.27  29.57
11 totalmass 24.68  24.81  25.34  24.89  25.41  26.24  26.87  24.55 
12 totalmass 24.9   25.8   24.71  24.71  25.79  25.11  24.49  28.53 
13 totalmass 23.33  21.64  20.51  25.33  24.28  24.19  23.63  24.29 
16 totalmass 24.61  26.07  24.63  25.44  20.9   21.28  20.78  25.28 
17 totalmass 19.95  18.72  19.51  19.27  20.57  21.07  20.11  18.34 
18 totalmass 24.61  24.42  23.99  23.38  22.03  28.74  28.31  28.36 
19 totalmass 24.41  23.89  24.78  24.36  25.6   24.68  22.86  21.2 
29 totalmass 25.16  25.23  24.66  25.09  25.12  24.4   24.04  23.76 
30 totalmass 26.69  28.59  29.04  30.34  28.22  27.46  29.44  27.03
1  surface   446.215  446.215  446.215  446.215  446.215  446.215  446.215  446.215
4  surface   446.215  446.215  446.215  446.215  446.215  446.215  446.215  446.215
5  surface   446.215  446.215  446.215  446.215  446.215  446.215  446.215  442.860
6  surface   442.55   442.55   442.55   442.55   442.55   442.55   442.55   442.55 
7  surface   446.215  446.215  446.215  446.215  446.215  446.215  446.215  442.55 
10 surface   442.55   442.55   442.55   442.55   442.55   442.55   442.55   442.55 
11 surface   446.215  446.215  446.215  446.215  446.215  446.215  446.215  446.215
12 surface   446.215  446.215  446.215  446.215  446.215  446.215  446.215  442.86
13 surface   444.5375 444.5375 444.5375 444.5375 444.5375 444.5375 444.5375 444.5375 
16 surface   446.215  446.215  446.215  446.215  444.5375 444.5375 444.5375 444.5375 
17 surface   442.89   444.22   444.22   444.22   444.22   443.555  444.22   444.22 
18 surface   444.5375 444.5375 444.5375 444.5375 444.5375 444.5375 444.5375 444.5375
19 surface   446.215  446.215  446.215  446.215  446.215  446.215  442.86   442.86
29 surface   442.55   442.55   442.55   442.55   442.55   442.55   442.55   442.55 
30 surface   446.215  444.5375 444.5375 444.5375 444.5375 444.5375 444.5375 446.215 
